ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10012,1.001200e+01,9.999982e-01,1.467444e+04,2.249375e+03
HI 1215Å,9680,9.680000e+00,2.516672e-02,1.735536e+04,1.034285e+00
