ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,4.688042e+04,8.844755e+03
HI 1215Å,23341,2.334100e+01,7.114157e-02,1.122450e+04,1.207223e+00
