# n_pixels = 233020000
# n_bins = 50
# grid = fixed, [0, 1]
# density: normalised so sum(density * bin_width) = 1
# density_err: Poisson, sqrt(count) / (n_pixels * bin_width)
#
flux_bin_center,flux_bin_low,flux_bin_high,density,density_err,count
1.000000e-02,0.000000e+00,2.000000e-02,2.561782e-01,2.344550e-04,1193893
3.000000e-02,2.000000e-02,4.000000e-02,5.112265e-02,1.047358e-04,238252
5.000000e-02,4.000000e-02,6.000000e-02,4.410415e-02,9.728103e-05,205543
7.000000e-02,6.000000e-02,8.000000e-02,4.140996e-02,9.426291e-05,192987
9.000000e-02,8.000000e-02,1.000000e-01,4.107094e-02,9.387625e-05,191407
1.100000e-01,1.000000e-01,1.200000e-01,4.090078e-02,9.368158e-05,190614
1.300000e-01,1.200000e-01,1.400000e-01,4.066883e-02,9.341556e-05,189533
1.500000e-01,1.400000e-01,1.600000e-01,4.010085e-02,9.276095e-05,186886
1.700000e-01,1.600000e-01,1.800000e-01,4.113445e-02,9.394881e-05,191703
1.900000e-01,1.800000e-01,2.000000e-01,4.112072e-02,9.393312e-05,191639
2.100000e-01,2.000000e-01,2.200000e-01,4.145202e-02,9.431076e-05,193183
2.300000e-01,2.200000e-01,2.400000e-01,4.326732e-02,9.635370e-05,201643
2.500000e-01,2.400000e-01,2.600000e-01,4.450412e-02,9.772114e-05,207407
2.700000e-01,2.600000e-01,2.800000e-01,4.630418e-02,9.967781e-05,215796
2.900000e-01,2.800000e-01,3.000000e-01,4.779418e-02,1.012689e-04,222740
3.100000e-01,3.000000e-01,3.200000e-01,4.988992e-02,1.034653e-04,232507
3.300000e-01,3.200000e-01,3.400000e-01,5.190177e-02,1.055309e-04,241883
3.500000e-01,3.400000e-01,3.600000e-01,5.365999e-02,1.073034e-04,250077
3.700000e-01,3.600000e-01,3.800000e-01,5.598983e-02,1.096082e-04,260935
3.900000e-01,3.800000e-01,4.000000e-01,5.850421e-02,1.120423e-04,272653
4.100000e-01,4.000000e-01,4.200000e-01,6.123208e-02,1.146246e-04,285366
4.300000e-01,4.200000e-01,4.400000e-01,6.435306e-02,1.175095e-04,299911
4.500000e-01,4.400000e-01,4.600000e-01,6.814823e-02,1.209249e-04,317598
4.700000e-01,4.600000e-01,4.800000e-01,7.162218e-02,1.239687e-04,333788
4.900000e-01,4.800000e-01,5.000000e-01,7.659107e-02,1.281969e-04,356945
5.100000e-01,5.000000e-01,5.200000e-01,8.205669e-02,1.326922e-04,382417
5.300000e-01,5.200000e-01,5.400000e-01,8.670672e-02,1.364001e-04,404088
5.500000e-01,5.400000e-01,5.600000e-01,9.079178e-02,1.395763e-04,423126
5.700000e-01,5.600000e-01,5.800000e-01,9.802764e-02,1.450316e-04,456848
5.900000e-01,5.800000e-01,6.000000e-01,1.052206e-01,1.502584e-04,490370
6.100000e-01,6.000000e-01,6.200000e-01,1.140713e-01,1.564504e-04,531618
6.300000e-01,6.200000e-01,6.400000e-01,1.224255e-01,1.620781e-04,570552
6.500000e-01,6.400000e-01,6.600000e-01,1.327910e-01,1.688001e-04,618859
6.700000e-01,6.600000e-01,6.800000e-01,1.434083e-01,1.754186e-04,668340
6.900000e-01,6.800000e-01,7.000000e-01,1.597178e-01,1.851250e-04,744349
7.100000e-01,7.000000e-01,7.200000e-01,1.776109e-01,1.952195e-04,827738
7.300000e-01,7.200000e-01,7.400000e-01,1.960342e-01,2.050947e-04,913598
7.500000e-01,7.400000e-01,7.600000e-01,2.190396e-01,2.167952e-04,1020812
7.700000e-01,7.600000e-01,7.800000e-01,2.476352e-01,2.305126e-04,1154079
7.900000e-01,7.800000e-01,8.000000e-01,2.764733e-01,2.435651e-04,1288476
8.100000e-01,8.000000e-01,8.200000e-01,3.208849e-01,2.623995e-04,1495452
8.300000e-01,8.200000e-01,8.400000e-01,3.753283e-01,2.837880e-04,1749180
8.500000e-01,8.400000e-01,8.600000e-01,4.451135e-01,3.090465e-04,2074407
8.700000e-01,8.600000e-01,8.800000e-01,5.488061e-01,3.431610e-04,2557656
8.900000e-01,8.800000e-01,9.000000e-01,6.879886e-01,3.842192e-04,3206302
9.100000e-01,9.000000e-01,9.200000e-01,8.980519e-01,4.389743e-04,4185281
9.300000e-01,9.200000e-01,9.400000e-01,1.257251e+00,5.193970e-04,5859294
9.500000e-01,9.400000e-01,9.600000e-01,1.945812e+00,6.461582e-04,9068262
9.700000e-01,9.600000e-01,9.800000e-01,3.935321e+00,9.189216e-04,18340168
9.900000e-01,9.800000e-01,1.000000e+00,3.586041e+01,2.773933e-03,167123839
