ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10002,1.000200e+01,9.999998e-01,2.554306e+04,4.286344e+03
HI 1215Å,14619,1.461900e+01,3.945076e-02,8.833472e+03,1.053128e+00
