k_s_per_km,P_k_mean_km_per_s,P_k_std,P_k_err,P_k_rescaled,P_k_rescaled_std,P_k_rescaled_err
1.250182e-01,4.178734e-02,4.371215e-02,4.371215e-04,1.844663e-02,2.015085e-02,2.015085e-04
1.272506e-01,3.859745e-02,4.101162e-02,4.101162e-04,1.662827e-02,1.848755e-02,1.848755e-04
1.294831e-01,3.413633e-02,3.583432e-02,3.583432e-04,1.483345e-02,1.623031e-02,1.623031e-04
1.317156e-01,3.153483e-02,3.486618e-02,3.486618e-04,1.334055e-02,1.481750e-02,1.481750e-04
1.339480e-01,2.860512e-02,3.099590e-02,3.099590e-04,1.209070e-02,1.361976e-02,1.361976e-04
1.361805e-01,2.646514e-02,2.826880e-02,2.826880e-04,1.099959e-02,1.229865e-02,1.229865e-04
1.384130e-01,2.378703e-02,2.550378e-02,2.550378e-04,9.946080e-03,1.120802e-02,1.120802e-04
1.406454e-01,2.212399e-02,2.380947e-02,2.380947e-04,9.074446e-03,1.045146e-02,1.045146e-04
1.428779e-01,1.955647e-02,2.149990e-02,2.149990e-04,8.011429e-03,9.195703e-03,9.195703e-05
1.451104e-01,1.792989e-02,1.917992e-02,1.917992e-04,7.342530e-03,8.494261e-03,8.494261e-05
1.473428e-01,1.623226e-02,1.754214e-02,1.754214e-04,6.658463e-03,7.566287e-03,7.566287e-05
1.495753e-01,1.490337e-02,1.605374e-02,1.605374e-04,5.946302e-03,6.821936e-03,6.821936e-05
1.518078e-01,1.380330e-02,1.534220e-02,1.534220e-04,5.486967e-03,6.573873e-03,6.573873e-05
1.540402e-01,1.264919e-02,1.402649e-02,1.402649e-04,4.996659e-03,5.885951e-03,5.885951e-05
1.562727e-01,1.160680e-02,1.285213e-02,1.285213e-04,4.456770e-03,5.348187e-03,5.348187e-05
1.585052e-01,1.069785e-02,1.198778e-02,1.198778e-04,4.088181e-03,4.965645e-03,4.965645e-05
1.607376e-01,9.732561e-03,1.080771e-02,1.080771e-04,3.689158e-03,4.495333e-03,4.495333e-05
1.629701e-01,8.921087e-03,9.742022e-03,9.742022e-05,3.371998e-03,4.049508e-03,4.049508e-05
1.652026e-01,8.323027e-03,9.333137e-03,9.333137e-05,3.051773e-03,3.747390e-03,3.747390e-05
1.674350e-01,7.521911e-03,8.217809e-03,8.217809e-05,2.778697e-03,3.368514e-03,3.368514e-05
1.696675e-01,6.963588e-03,7.885524e-03,7.885524e-05,2.497700e-03,3.164103e-03,3.164103e-05
1.719000e-01,6.362829e-03,7.174004e-03,7.174004e-05,2.291460e-03,2.818380e-03,2.818380e-05
1.741324e-01,5.798047e-03,6.345650e-03,6.345650e-05,2.083709e-03,2.631941e-03,2.631941e-05
1.763649e-01,5.413702e-03,6.116165e-03,6.116165e-05,1.906435e-03,2.408053e-03,2.408053e-05
1.785974e-01,4.947311e-03,5.486431e-03,5.486431e-05,1.754585e-03,2.296702e-03,2.296702e-05
1.808298e-01,4.555792e-03,5.119560e-03,5.119560e-05,1.586289e-03,2.048436e-03,2.048436e-05
1.830623e-01,4.143115e-03,4.657903e-03,4.657903e-05,1.465301e-03,1.947263e-03,1.947263e-05
1.852948e-01,3.909503e-03,4.319765e-03,4.319765e-05,1.310329e-03,1.716087e-03,1.716087e-05
1.875272e-01,3.652569e-03,4.158284e-03,4.158284e-05,1.232195e-03,1.659162e-03,1.659162e-05
1.897597e-01,3.322249e-03,3.781424e-03,3.781424e-05,1.113058e-03,1.549963e-03,1.549963e-05
1.919922e-01,3.082586e-03,3.570539e-03,3.570539e-05,1.005489e-03,1.389841e-03,1.389841e-05
1.942246e-01,2.853408e-03,3.242882e-03,3.242882e-05,9.496303e-04,1.382810e-03,1.382810e-05
1.964571e-01,2.634504e-03,3.053425e-03,3.053425e-05,8.646225e-04,1.272988e-03,1.272988e-05
1.986896e-01,2.453114e-03,2.845860e-03,2.845860e-05,8.024427e-04,1.211987e-03,1.211987e-05
2.009220e-01,2.248023e-03,2.621701e-03,2.621701e-05,7.432854e-04,1.173611e-03,1.173611e-05
2.031545e-01,2.069252e-03,2.384413e-03,2.384413e-05,6.848664e-04,1.041543e-03,1.041543e-05
2.053870e-01,1.934393e-03,2.229384e-03,2.229384e-05,6.288139e-04,9.782237e-04,9.782237e-06
2.076194e-01,1.791384e-03,2.090680e-03,2.090680e-05,5.871502e-04,9.420191e-04,9.420191e-06
2.098519e-01,1.641447e-03,1.930378e-03,1.930378e-05,5.327633e-04,8.965879e-04,8.965879e-06
2.120844e-01,1.482813e-03,1.694008e-03,1.694008e-05,4.808787e-04,7.705425e-04,7.705425e-06
2.143169e-01,1.397653e-03,1.637677e-03,1.637677e-05,4.512253e-04,7.687587e-04,7.687587e-06
2.165493e-01,1.285546e-03,1.510920e-03,1.510920e-05,4.097848e-04,6.707589e-04,6.707589e-06
2.187818e-01,1.166568e-03,1.367247e-03,1.367247e-05,3.738980e-04,6.492352e-04,6.492352e-06
2.210143e-01,1.105328e-03,1.286154e-03,1.286154e-05,3.507779e-04,5.985733e-04,5.985733e-06
2.232467e-01,1.013389e-03,1.213028e-03,1.213028e-05,3.247004e-04,5.514893e-04,5.514893e-06
2.254792e-01,9.394357e-04,1.110170e-03,1.110170e-05,2.960169e-04,4.995635e-04,4.995635e-06
2.277117e-01,8.598593e-04,1.027019e-03,1.027019e-05,2.815000e-04,5.081788e-04,5.081788e-06
2.299441e-01,7.932195e-04,9.609441e-04,9.609441e-06,2.575291e-04,4.672734e-04,4.672734e-06
2.321766e-01,7.296164e-04,8.924173e-04,8.924173e-06,2.393262e-04,4.564858e-04,4.564858e-06
2.344091e-01,6.768902e-04,8.322456e-04,8.322456e-06,2.138131e-04,4.062157e-04,4.062157e-06
2.366415e-01,6.236504e-04,7.764368e-04,7.764368e-06,2.042768e-04,4.045734e-04,4.045734e-06
2.388740e-01,5.796770e-04,7.280157e-04,7.280157e-06,1.898790e-04,3.893174e-04,3.893174e-06
2.411065e-01,5.420404e-04,6.690035e-04,6.690035e-06,1.725226e-04,3.616842e-04,3.616842e-06
2.433389e-01,4.938950e-04,6.255084e-04,6.255084e-06,1.633364e-04,3.543538e-04,3.543538e-06
2.455714e-01,4.693002e-04,5.943935e-04,5.943935e-06,1.503736e-04,3.397260e-04,3.397260e-06
2.478039e-01,4.159888e-04,5.176203e-04,5.176203e-06,1.371752e-04,3.212776e-04,3.212776e-06
2.500363e-01,3.847050e-04,4.813102e-04,4.813102e-06,1.293326e-04,3.083451e-04,3.083451e-06
2.522688e-01,3.557791e-04,4.717510e-04,4.717510e-06,1.203832e-04,2.827357e-04,2.827357e-06
2.545013e-01,3.333777e-04,4.460809e-04,4.460809e-06,1.105970e-04,2.543256e-04,2.543256e-06
2.567337e-01,3.098191e-04,4.169078e-04,4.169078e-06,1.037239e-04,2.446066e-04,2.446066e-06
2.589662e-01,2.862335e-04,3.922587e-04,3.922587e-06,9.717355e-05,2.334394e-04,2.334394e-06
2.611987e-01,2.603748e-04,3.358731e-04,3.358731e-06,9.182159e-05,2.235117e-04,2.235117e-06
2.634311e-01,2.391923e-04,3.198768e-04,3.198768e-06,8.341043e-05,2.109624e-04,2.109624e-06
2.656636e-01,2.251366e-04,3.018684e-04,3.018684e-06,7.890637e-05,2.050015e-04,2.050015e-06
2.678961e-01,2.030900e-04,2.745710e-04,2.745710e-06,7.353674e-05,1.943657e-04,1.943657e-06
2.701285e-01,1.925652e-04,2.669154e-04,2.669154e-06,6.988248e-05,1.944215e-04,1.944215e-06
2.723610e-01,1.782701e-04,2.538179e-04,2.538179e-06,6.482673e-05,1.802681e-04,1.802681e-06
2.745935e-01,1.649823e-04,2.365251e-04,2.365251e-06,6.168140e-05,1.751626e-04,1.751626e-06
2.768259e-01,1.537527e-04,2.247030e-04,2.247030e-06,5.741213e-05,1.710120e-04,1.710120e-06
2.790584e-01,1.418337e-04,2.027424e-04,2.027424e-06,5.357130e-05,1.612194e-04,1.612194e-06
2.812909e-01,1.283259e-04,1.871634e-04,1.871634e-06,4.969370e-05,1.511715e-04,1.511715e-06
2.835233e-01,1.231990e-04,1.932632e-04,1.932632e-06,4.660091e-05,1.487801e-04,1.487801e-06
2.857558e-01,1.125273e-04,1.713610e-04,1.713610e-06,4.388205e-05,1.375657e-04,1.375657e-06
2.879883e-01,1.046467e-04,1.617206e-04,1.617206e-06,4.090744e-05,1.326807e-04,1.326807e-06
2.902207e-01,9.753372e-05,1.526043e-04,1.526043e-06,3.918230e-05,1.287598e-04,1.287598e-06
2.924532e-01,9.206203e-05,1.503618e-04,1.503618e-06,3.627532e-05,1.204373e-04,1.204373e-06
2.946857e-01,8.601715e-05,1.461903e-04,1.461903e-06,3.412210e-05,1.159400e-04,1.159400e-06
2.969181e-01,7.889444e-05,1.257013e-04,1.257013e-06,3.195343e-05,1.076384e-04,1.076384e-06
2.991506e-01,7.442338e-05,1.297813e-04,1.297813e-06,3.116359e-05,1.081152e-04,1.081152e-06
3.013831e-01,6.897062e-05,1.198299e-04,1.198299e-06,2.939463e-05,1.008653e-04,1.008653e-06
3.036155e-01,6.453940e-05,1.121289e-04,1.121289e-06,2.693645e-05,9.239471e-05,9.239471e-07
3.058480e-01,5.966289e-05,1.039792e-04,1.039792e-06,2.587683e-05,9.242458e-05,9.242458e-07
3.080805e-01,5.622220e-05,1.063749e-04,1.063749e-06,2.430788e-05,8.758545e-05,8.758545e-07
3.103129e-01,5.266578e-05,9.953828e-05,9.953828e-07,2.315182e-05,8.827375e-05,8.827375e-07
3.125454e-01,4.828379e-05,8.860379e-05,8.860379e-07,2.208676e-05,8.607773e-05,8.607773e-07
3.147779e-01,4.576780e-05,8.930938e-05,8.930938e-07,2.083721e-05,8.200060e-05,8.200060e-07
3.170103e-01,4.226747e-05,8.542908e-05,8.542908e-07,1.970185e-05,7.960396e-05,7.960396e-07
3.192428e-01,3.998151e-05,7.921699e-05,7.921699e-07,1.890426e-05,7.581201e-05,7.581201e-07
3.214753e-01,3.709971e-05,7.648533e-05,7.648533e-07,1.765390e-05,7.018595e-05,7.018595e-07
3.237077e-01,3.428917e-05,6.861897e-05,6.861897e-07,1.668388e-05,6.783524e-05,6.783524e-07
3.259402e-01,3.214714e-05,6.423857e-05,6.423857e-07,1.570433e-05,6.269132e-05,6.269132e-07
3.281727e-01,3.073978e-05,6.502407e-05,6.502407e-07,1.507721e-05,6.192405e-05,6.192405e-07
3.304051e-01,2.807346e-05,5.884380e-05,5.884380e-07,1.436346e-05,5.887106e-05,5.887106e-07
3.326376e-01,2.647176e-05,5.785665e-05,5.785665e-07,1.328295e-05,5.625373e-05,5.625373e-07
3.348701e-01,2.537094e-05,6.051946e-05,6.051946e-07,1.270421e-05,5.435346e-05,5.435346e-07
3.371025e-01,2.365327e-05,5.427517e-05,5.427517e-07,1.212862e-05,5.475665e-05,5.475665e-07
3.393350e-01,2.233162e-05,5.363370e-05,5.363370e-07,1.154461e-05,5.295979e-05,5.295979e-07
3.415675e-01,2.079567e-05,5.374495e-05,5.374495e-07,1.121471e-05,5.233470e-05,5.233470e-07
3.437999e-01,1.948923e-05,4.908195e-05,4.908195e-07,1.042526e-05,4.912410e-05,4.912410e-07
3.460324e-01,1.859817e-05,4.702910e-05,4.702910e-07,1.030147e-05,4.866546e-05,4.866546e-07
3.482649e-01,1.707614e-05,4.392759e-05,4.392759e-07,9.767404e-06,4.648057e-05,4.648057e-07
3.504973e-01,1.601906e-05,4.063264e-05,4.063264e-07,9.344332e-06,4.424010e-05,4.424010e-07
3.527298e-01,1.515623e-05,3.947342e-05,3.947342e-07,8.789281e-06,4.147300e-05,4.147300e-07
3.549623e-01,1.407360e-05,3.651181e-05,3.651181e-07,8.359956e-06,4.027989e-05,4.027989e-07
3.571948e-01,1.313281e-05,3.491877e-05,3.491877e-07,7.858611e-06,3.821364e-05,3.821364e-07
3.594272e-01,1.259299e-05,3.479243e-05,3.479243e-07,7.385413e-06,3.599886e-05,3.599886e-07
3.616597e-01,1.165735e-05,3.220592e-05,3.220592e-07,7.105748e-06,3.585953e-05,3.585953e-07
3.638922e-01,1.117904e-05,3.250281e-05,3.250281e-07,6.659853e-06,3.270849e-05,3.270849e-07
3.661246e-01,1.047648e-05,3.266329e-05,3.266329e-07,6.413836e-06,3.172116e-05,3.172116e-07
3.683571e-01,9.804356e-06,3.209530e-05,3.209530e-07,6.163117e-06,3.077298e-05,3.077298e-07
3.705896e-01,9.338217e-06,3.065130e-05,3.065130e-07,5.798071e-06,2.857062e-05,2.857062e-07
3.728220e-01,8.940006e-06,2.854633e-05,2.854633e-07,5.598098e-06,2.878495e-05,2.878495e-07
3.750545e-01,8.240923e-06,2.767896e-05,2.767896e-07,5.329123e-06,2.786501e-05,2.786501e-07
3.772870e-01,7.818111e-06,2.607287e-05,2.607287e-07,5.177264e-06,2.831863e-05,2.831863e-07
3.795194e-01,7.369517e-06,2.492405e-05,2.492405e-07,4.948766e-06,2.816504e-05,2.816504e-07
3.817519e-01,6.986415e-06,2.465574e-05,2.465574e-07,4.696749e-06,2.773329e-05,2.773329e-07
3.839844e-01,6.547242e-06,2.386992e-05,2.386992e-07,4.566425e-06,2.708553e-05,2.708553e-07
3.862168e-01,6.154579e-06,2.236630e-05,2.236630e-07,4.329548e-06,2.612312e-05,2.612312e-07
3.884493e-01,5.765689e-06,2.127529e-05,2.127529e-07,4.258748e-06,2.584714e-05,2.584714e-07
3.906818e-01,5.477073e-06,1.990845e-05,1.990845e-07,4.028286e-06,2.424332e-05,2.424332e-07
3.929142e-01,5.013684e-06,1.793808e-05,1.793808e-07,3.828389e-06,2.293072e-05,2.293072e-07
3.951467e-01,4.772155e-06,1.754913e-05,1.754913e-07,3.639668e-06,2.156919e-05,2.156919e-07
3.973792e-01,4.478398e-06,1.681711e-05,1.681711e-07,3.559057e-06,2.090825e-05,2.090825e-07
3.996116e-01,4.249646e-06,1.664806e-05,1.664806e-07,3.351124e-06,1.978284e-05,1.978284e-07
4.018441e-01,4.025412e-06,1.592515e-05,1.592515e-07,3.142306e-06,1.830884e-05,1.830884e-07
4.040766e-01,3.849893e-06,1.591037e-05,1.591037e-07,3.017428e-06,1.728235e-05,1.728235e-07
4.063090e-01,3.706558e-06,1.632681e-05,1.632681e-07,2.841070e-06,1.600492e-05,1.600492e-07
4.085415e-01,3.543410e-06,1.621977e-05,1.621977e-07,2.732183e-06,1.531525e-05,1.531525e-07
4.107740e-01,3.370398e-06,1.542930e-05,1.542930e-07,2.623461e-06,1.476394e-05,1.476394e-07
4.130064e-01,3.220223e-06,1.516991e-05,1.516991e-07,2.496186e-06,1.412516e-05,1.412516e-07
4.152389e-01,3.009960e-06,1.472034e-05,1.472034e-07,2.399250e-06,1.408116e-05,1.408116e-07
4.174714e-01,2.967243e-06,1.458452e-05,1.458452e-07,2.344377e-06,1.441889e-05,1.441889e-07
4.197038e-01,2.785458e-06,1.407820e-05,1.407820e-07,2.240754e-06,1.435988e-05,1.435988e-07
4.219363e-01,2.617180e-06,1.302340e-05,1.302340e-07,2.183518e-06,1.476814e-05,1.476814e-07
4.241688e-01,2.457141e-06,1.226411e-05,1.226411e-07,2.107946e-06,1.445591e-05,1.445591e-07
4.264012e-01,2.338996e-06,1.130977e-05,1.130977e-07,2.059697e-06,1.444717e-05,1.444717e-07
4.286337e-01,2.228342e-06,1.096158e-05,1.096158e-07,2.002200e-06,1.461183e-05,1.461183e-07
4.308662e-01,2.090015e-06,9.956088e-06,9.956088e-08,1.903282e-06,1.393156e-05,1.393156e-07
4.330986e-01,1.947073e-06,9.435033e-06,9.435033e-08,1.839151e-06,1.380694e-05,1.380694e-07
4.353311e-01,1.847045e-06,8.914877e-06,8.914877e-08,1.749843e-06,1.304438e-05,1.304438e-07
4.375636e-01,1.791967e-06,9.016814e-06,9.016814e-08,1.672121e-06,1.235563e-05,1.235563e-07
4.397960e-01,1.662069e-06,8.394273e-06,8.394273e-08,1.602828e-06,1.158706e-05,1.158706e-07
4.420285e-01,1.610031e-06,8.348055e-06,8.348055e-08,1.494309e-06,1.042833e-05,1.042833e-07
4.442610e-01,1.546444e-06,8.196190e-06,8.196190e-08,1.415994e-06,9.518911e-06,9.518911e-08
4.464934e-01,1.467314e-06,8.252933e-06,8.252933e-08,1.348960e-06,8.921872e-06,8.921872e-08
4.487259e-01,1.439243e-06,8.267043e-06,8.267043e-08,1.305740e-06,8.515061e-06,8.515061e-08
4.509584e-01,1.395994e-06,8.342890e-06,8.342890e-08,1.246475e-06,8.117849e-06,8.117849e-08
4.531908e-01,1.317720e-06,8.143797e-06,8.143797e-08,1.191569e-06,7.819066e-06,7.819066e-08
4.554233e-01,1.270433e-06,8.154563e-06,8.154563e-08,1.144569e-06,7.738321e-06,7.738321e-08
4.576558e-01,1.220461e-06,8.220537e-06,8.220537e-08,1.109128e-06,7.614934e-06,7.614934e-08
4.598882e-01,1.153922e-06,7.756654e-06,7.756654e-08,1.089610e-06,7.544028e-06,7.544028e-08
4.621207e-01,1.093212e-06,7.288942e-06,7.288942e-08,1.042666e-06,7.327690e-06,7.327690e-08
4.643532e-01,1.054899e-06,6.892728e-06,6.892728e-08,1.022990e-06,7.279618e-06,7.279618e-08
4.665856e-01,9.888494e-07,6.382899e-06,6.382899e-08,1.010848e-06,7.356306e-06,7.356306e-08
4.688181e-01,9.515064e-07,6.026972e-06,6.026972e-08,9.668181e-07,7.405287e-06,7.405287e-08
4.710506e-01,8.945872e-07,5.540170e-06,5.540170e-08,9.617283e-07,7.600985e-06,7.600985e-08
4.732830e-01,8.539857e-07,5.204997e-06,5.204997e-08,9.150229e-07,7.623954e-06,7.623954e-08
4.755155e-01,8.189748e-07,5.039606e-06,5.039606e-08,8.937987e-07,7.592200e-06,7.592200e-08
4.777480e-01,7.782873e-07,4.804579e-06,4.804579e-08,8.670938e-07,7.484305e-06,7.484305e-08
4.799804e-01,7.513986e-07,4.687906e-06,4.687906e-08,8.292035e-07,7.047241e-06,7.047241e-08
4.822129e-01,7.090229e-07,4.436991e-06,4.436991e-08,7.879898e-07,6.599819e-06,6.599819e-08
4.844454e-01,6.928896e-07,4.358208e-06,4.358208e-08,7.486722e-07,6.135778e-06,6.135778e-08
4.866778e-01,6.708460e-07,4.368142e-06,4.368142e-08,7.186273e-07,5.747839e-06,5.747839e-08
4.889103e-01,6.513237e-07,4.412277e-06,4.412277e-08,6.910586e-07,5.468708e-06,5.468708e-08
4.911428e-01,6.276948e-07,4.404034e-06,4.404034e-08,6.416772e-07,4.993266e-06,4.993266e-08
4.933753e-01,6.051094e-07,4.433419e-06,4.433419e-08,6.110684e-07,4.733348e-06,4.733348e-08
4.956077e-01,5.828293e-07,4.450006e-06,4.450006e-08,5.859648e-07,4.540381e-06,4.540381e-08
4.978402e-01,5.636559e-07,4.450254e-06,4.450254e-08,5.618470e-07,4.343195e-06,4.343195e-08
5.000727e-01,5.449366e-07,4.352318e-06,4.352318e-08,5.411788e-07,4.192593e-06,4.192593e-08
5.023051e-01,5.137436e-07,4.120486e-06,4.120486e-08,5.222827e-07,4.017723e-06,4.017723e-08
5.045376e-01,4.945185e-07,4.001140e-06,4.001140e-08,5.036809e-07,3.887331e-06,3.887331e-08
5.067701e-01,4.755472e-07,3.792070e-06,3.792070e-08,4.946532e-07,3.882529e-06,3.882529e-08
5.090025e-01,4.510001e-07,3.598634e-06,3.598634e-08,4.856671e-07,3.899771e-06,3.899771e-08
5.112350e-01,4.345618e-07,3.443571e-06,3.443571e-08,4.705798e-07,3.949863e-06,3.949863e-08
5.134675e-01,4.078969e-07,3.161203e-06,3.161203e-08,4.605749e-07,3.981508e-06,3.981508e-08
5.156999e-01,3.854381e-07,2.976507e-06,2.976507e-08,4.502522e-07,4.001666e-06,4.001666e-08
5.179324e-01,3.780464e-07,2.865880e-06,2.865880e-08,4.401204e-07,3.990468e-06,3.990468e-08
5.201649e-01,3.581494e-07,2.664946e-06,2.664946e-08,4.287322e-07,3.916516e-06,3.916516e-08
5.223973e-01,3.468231e-07,2.583471e-06,2.583471e-08,4.134907e-07,3.846624e-06,3.846624e-08
5.246298e-01,3.355878e-07,2.505998e-06,2.505998e-08,3.971952e-07,3.737157e-06,3.737157e-08
