ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10055,1.005500e+01,9.999929e-01,1.061841e+04,1.533613e+03
HI 1215Å,6072,6.072000e+00,1.508977e-02,8.440439e+03,9.322563e-01
