k_s_per_km,P_k_mean_km_per_s,P_k_std,P_k_err,P_k_rescaled,P_k_rescaled_std,P_k_rescaled_err
0.000000e+00,2.884420e+01,9.173333e+01,9.173333e-01,1.306225e+01,5.304195e+01,5.304195e-01
2.398801e-03,3.189877e+01,3.395273e+01,3.395273e-01,1.450212e+01,1.866192e+01,1.866192e-01
4.797602e-03,2.858469e+01,2.818878e+01,2.818878e-01,1.280795e+01,1.393398e+01,1.393398e-01
7.196402e-03,2.290951e+01,2.272119e+01,2.272119e-01,1.048473e+01,1.116690e+01,1.116690e-01
9.595203e-03,1.997316e+01,1.956354e+01,1.956354e-01,9.323941e+00,9.853530e+00,9.853530e-02
1.199400e-02,1.745092e+01,1.769096e+01,1.769096e-01,8.210711e+00,8.903522e+00,8.903522e-02
1.439280e-02,1.577213e+01,1.592442e+01,1.592442e-01,7.483850e+00,8.017504e+00,8.017504e-02
1.679161e-02,1.355980e+01,1.361263e+01,1.361263e-01,6.486340e+00,6.847042e+00,6.847042e-02
1.919041e-02,1.288796e+01,1.287208e+01,1.287208e-01,6.193979e+00,6.292917e+00,6.292917e-02
2.158921e-02,1.050739e+01,1.044436e+01,1.044436e-01,5.088751e+00,5.274422e+00,5.274422e-02
2.398801e-02,9.502079e+00,9.522080e+00,9.522080e-02,4.587224e+00,4.778059e+00,4.778059e-02
2.638681e-02,8.562028e+00,8.629294e+00,8.629294e-02,4.138166e+00,4.294689e+00,4.294689e-02
2.878561e-02,7.569213e+00,7.531894e+00,7.531894e-02,3.667517e+00,3.751309e+00,3.751309e-02
3.118441e-02,6.798740e+00,6.816482e+00,6.816482e-02,3.275297e+00,3.441717e+00,3.441717e-02
3.358321e-02,5.965447e+00,5.900932e+00,5.900932e-02,2.854099e+00,2.913150e+00,2.913150e-02
3.598201e-02,5.608393e+00,5.677105e+00,5.677105e-02,2.709342e+00,2.806964e+00,2.806964e-02
3.838081e-02,4.969877e+00,5.128740e+00,5.128740e-02,2.369700e+00,2.444397e+00,2.444397e-02
4.077961e-02,4.462510e+00,4.519640e+00,4.519640e-02,2.112244e+00,2.184500e+00,2.184500e-02
4.317841e-02,3.871620e+00,3.939626e+00,3.939626e-02,1.868397e+00,1.929689e+00,1.929689e-02
4.557721e-02,3.486248e+00,3.628324e+00,3.628324e-02,1.664143e+00,1.736441e+00,1.736441e-02
4.797602e-02,3.146963e+00,3.198102e+00,3.198102e-02,1.491917e+00,1.536968e+00,1.536968e-02
5.037482e-02,2.822129e+00,2.858095e+00,2.858095e-02,1.325518e+00,1.374356e+00,1.374356e-02
5.277362e-02,2.545921e+00,2.596375e+00,2.596375e-02,1.195631e+00,1.228773e+00,1.228773e-02
5.517242e-02,2.308778e+00,2.366219e+00,2.366219e-02,1.081244e+00,1.129104e+00,1.129104e-02
5.757122e-02,2.067799e+00,2.082720e+00,2.082720e-02,9.858684e-01,1.014871e+00,1.014871e-02
5.997002e-02,1.847132e+00,1.889861e+00,1.889861e-02,8.756895e-01,8.965593e-01,8.965593e-03
6.236882e-02,1.626793e+00,1.644475e+00,1.644475e-02,7.791247e-01,8.089174e-01,8.089174e-03
6.476762e-02,1.490113e+00,1.515955e+00,1.515955e-02,7.040645e-01,7.244249e-01,7.244249e-03
6.716642e-02,1.297570e+00,1.346516e+00,1.346516e-02,6.047386e-01,6.231105e-01,6.231105e-03
6.956522e-02,1.167015e+00,1.224424e+00,1.224424e-02,5.553826e-01,5.906347e-01,5.906347e-03
7.196402e-02,1.040417e+00,1.076717e+00,1.076717e-02,4.934748e-01,5.055664e-01,5.055664e-03
7.436282e-02,9.735382e-01,1.003678e+00,1.003678e-02,4.553162e-01,4.745929e-01,4.745929e-03
7.676162e-02,8.311131e-01,8.600778e-01,8.600778e-03,3.935774e-01,4.042167e-01,4.042167e-03
7.916043e-02,7.484246e-01,7.775804e-01,7.775804e-03,3.598653e-01,3.785755e-01,3.785755e-03
8.155923e-02,6.789223e-01,6.899606e-01,6.899606e-03,3.172388e-01,3.229288e-01,3.229288e-03
8.395803e-02,6.084881e-01,6.327562e-01,6.327562e-03,2.879084e-01,2.989502e-01,2.989502e-03
8.635683e-02,5.434826e-01,5.550144e-01,5.550144e-03,2.612117e-01,2.701859e-01,2.701859e-03
8.875563e-02,4.842210e-01,4.969010e-01,4.969010e-03,2.263564e-01,2.343174e-01,2.343174e-03
9.115443e-02,4.318188e-01,4.406320e-01,4.406320e-03,2.019604e-01,2.044399e-01,2.044399e-03
9.355323e-02,3.901174e-01,4.038410e-01,4.038410e-03,1.814518e-01,1.838176e-01,1.838176e-03
9.595203e-02,3.514276e-01,3.642186e-01,3.642186e-03,1.612051e-01,1.651353e-01,1.651353e-03
9.835083e-02,3.128374e-01,3.205910e-01,3.205910e-03,1.433294e-01,1.465999e-01,1.465999e-03
1.007496e-01,2.789643e-01,2.871210e-01,2.871210e-03,1.287463e-01,1.337519e-01,1.337519e-03
1.031484e-01,2.481258e-01,2.566671e-01,2.566671e-03,1.151549e-01,1.207605e-01,1.207605e-03
1.055472e-01,2.285430e-01,2.347684e-01,2.347684e-03,1.049425e-01,1.076770e-01,1.076770e-03
1.079460e-01,1.988365e-01,2.041256e-01,2.041256e-03,8.889301e-02,9.175265e-02,9.175265e-04
1.103448e-01,1.816272e-01,1.858023e-01,1.858023e-03,8.124948e-02,8.275847e-02,8.275847e-04
1.127436e-01,1.636297e-01,1.680793e-01,1.680793e-03,7.225681e-02,7.392561e-02,7.392561e-04
1.151424e-01,1.486197e-01,1.502020e-01,1.502020e-03,6.553200e-02,6.698723e-02,6.698723e-04
1.175412e-01,1.347221e-01,1.378407e-01,1.378407e-03,5.945112e-02,6.135323e-02,6.135323e-04
1.199400e-01,1.205689e-01,1.240197e-01,1.240197e-03,5.180318e-02,5.383442e-02,5.383442e-04
