ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,7.204459e+04,2.537618e+04
HI 1215Å,59213,5.921300e+01,1.555007e-01,3.790534e+03,1.335059e+00
