statistic,value
mean_flux,0.8217105677595307
median_flux,0.945587158203125
std_flux,0.2636402554033461
min_flux,2.9382650407717056e-39
max_flux,0.9996457695960999
mean_tau,589.5018911326159
median_tau,0.05594920367002487
effective_tau,0.19636705327880763
deep_absorption_frac,0.04856926219045188
moderate_absorption_frac,0.0776386690494426
weak_absorption_frac,0.8737920687601055
tau_eff_err,0.0012130784386405822
tau_eff_std,0.12130784386405823
mean_flux_err,0.0006452145839750766
mean_flux_std,0.06452145839750766
n_sightlines,10000.0
tau_eff_obs_target,
mean_flux_target,
tau_scale_factor,
tau_eff_H_total,498.15638151386526
hi_fraction_eff,0.0003941875691532524
