ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,2.899200e+05,1.719353e+05
HI 1215Å,28481,2.848100e+01,9.521411e-01,8.796896e+02,2.396868e+00
