statistic,value
mean_flux,0.9686051510649528
median_flux,0.9986622929573059
std_flux,0.11307207262050747
min_flux,2.9382650407717056e-39
max_flux,1.0
mean_tau,433.0670285532693
median_tau,0.0013385823694989085
effective_tau,0.03189823097537041
deep_absorption_frac,0.004870094803792152
moderate_absorption_frac,0.011765870634825393
weak_absorption_frac,0.9833640345613824
tau_eff_err,0.0011386944806267155
tau_eff_std,0.11386944806267155
mean_flux_err,0.0003738748997307205
mean_flux_std,0.03738748997307205
n_sightlines,10000.0
tau_eff_obs_target,
mean_flux_target,
tau_scale_factor,
tau_eff_H_total,13.290456533426791
hi_fraction_eff,0.0024000853433925355
