ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,1.747755e+04,2.601655e+03
HI 1215Å,10259,1.025900e+01,2.638751e-02,1.784393e+04,1.027391e+00
