ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,1.813492e+04,3.457753e+03
HI 1215Å,20473,2.047300e+01,5.031015e-02,1.174280e+04,1.149819e+00
