ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10005,1.000500e+01,9.999995e-01,1.263539e+04,2.220896e+03
HI 1215Å,7072,7.072000e+00,1.748767e-02,7.012904e+03,9.509029e-01
