ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10017,1.001700e+01,9.999981e-01,1.002437e+04,1.673456e+03
HI 1215Å,10949,1.094900e+01,2.400061e-02,5.041302e+03,1.048305e+00
