statistic,value
mean_flux,0.9649861797371044
median_flux,0.9971547722816467
std_flux,0.11655825363950023
min_flux,2.9382650407717056e-39
max_flux,1.0
mean_tau,121.01469272365163
median_tau,0.0028492812998592854
effective_tau,0.03564149926165897
deep_absorption_frac,0.00502122484899396
moderate_absorption_frac,0.012881443257730309
weak_absorption_frac,0.9820973318932757
tau_eff_err,0.00048347854713691886
tau_eff_std,0.048347854713691886
mean_flux_err,0.00033686905627480253
mean_flux_std,0.03368690562748025
n_sightlines,10000.0
tau_eff_obs_target,
mean_flux_target,
tau_scale_factor,
tau_eff_H_total,11.904939820982928
hi_fraction_eff,0.002993841182460784
