ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10026,1.002600e+01,9.999960e-01,1.813299e+04,2.906763e+03
HI 1215Å,10190,1.019000e+01,2.761712e-02,2.989391e+04,1.028629e+00
