# n_pixels = 261930000
# n_bins = 50
# grid = fixed, [0, 1]
# density: normalised so sum(density * bin_width) = 1
# density_err: Poisson, sqrt(count) / (n_pixels * bin_width)
#
flux_bin_center,flux_bin_low,flux_bin_high,density,density_err,count
1.000000e-02,0.000000e+00,2.000000e-02,3.782025e+00,8.496784e-04,19812517
3.000000e-02,2.000000e-02,4.000000e-02,6.885397e-01,3.625408e-04,3606984
5.000000e-02,4.000000e-02,6.000000e-02,5.254610e-01,3.167106e-04,2752680
7.000000e-02,6.000000e-02,8.000000e-02,4.481417e-01,2.924826e-04,2347635
9.000000e-02,8.000000e-02,1.000000e-01,4.070635e-01,2.787555e-04,2132443
1.100000e-01,1.000000e-01,1.200000e-01,3.786800e-01,2.688615e-04,1983753
1.300000e-01,1.200000e-01,1.400000e-01,3.625388e-01,2.630690e-04,1899196
1.500000e-01,1.400000e-01,1.600000e-01,3.488995e-01,2.580730e-04,1827745
1.700000e-01,1.600000e-01,1.800000e-01,3.392460e-01,2.544777e-04,1777174
1.900000e-01,1.800000e-01,2.000000e-01,3.337256e-01,2.523987e-04,1748255
2.100000e-01,2.000000e-01,2.200000e-01,3.320240e-01,2.517544e-04,1739341
2.300000e-01,2.200000e-01,2.400000e-01,3.333261e-01,2.522476e-04,1746162
2.500000e-01,2.400000e-01,2.600000e-01,3.336624e-01,2.523748e-04,1747924
2.700000e-01,2.600000e-01,2.800000e-01,3.381146e-01,2.540530e-04,1771247
2.900000e-01,2.800000e-01,3.000000e-01,3.448076e-01,2.565552e-04,1806309
3.100000e-01,3.000000e-01,3.200000e-01,3.508384e-01,2.587891e-04,1837902
3.300000e-01,3.200000e-01,3.400000e-01,3.587642e-01,2.616959e-04,1879422
3.500000e-01,3.400000e-01,3.600000e-01,3.677309e-01,2.649460e-04,1926395
3.700000e-01,3.600000e-01,3.800000e-01,3.774613e-01,2.684285e-04,1977369
3.900000e-01,3.800000e-01,4.000000e-01,3.895365e-01,2.726883e-04,2040626
4.100000e-01,4.000000e-01,4.200000e-01,4.002235e-01,2.764036e-04,2096611
4.300000e-01,4.200000e-01,4.400000e-01,4.193899e-01,2.829446e-04,2197016
4.500000e-01,4.400000e-01,4.600000e-01,4.369822e-01,2.888180e-04,2289175
4.700000e-01,4.600000e-01,4.800000e-01,4.564324e-01,2.951757e-04,2391067
4.900000e-01,4.800000e-01,5.000000e-01,4.796444e-01,3.025882e-04,2512665
5.100000e-01,5.000000e-01,5.200000e-01,5.017224e-01,3.094740e-04,2628323
5.300000e-01,5.200000e-01,5.400000e-01,5.291135e-01,3.178094e-04,2771814
5.500000e-01,5.400000e-01,5.600000e-01,5.619532e-01,3.275235e-04,2943848
5.700000e-01,5.600000e-01,5.800000e-01,5.944126e-01,3.368499e-04,3113890
5.900000e-01,5.800000e-01,6.000000e-01,6.319066e-01,3.473112e-04,3310306
6.100000e-01,6.000000e-01,6.200000e-01,6.791234e-01,3.600533e-04,3557656
6.300000e-01,6.200000e-01,6.400000e-01,7.286368e-01,3.729477e-04,3817037
6.500000e-01,6.400000e-01,6.600000e-01,7.875385e-01,3.877290e-04,4125599
6.700000e-01,6.600000e-01,6.800000e-01,8.530292e-01,4.035286e-04,4468679
6.900000e-01,6.800000e-01,7.000000e-01,9.272393e-01,4.207153e-04,4857436
7.100000e-01,7.000000e-01,7.200000e-01,1.014468e+00,4.400596e-04,5314391
7.300000e-01,7.200000e-01,7.400000e-01,1.117850e+00,4.619385e-04,5855969
7.500000e-01,7.400000e-01,7.600000e-01,1.239132e+00,4.863526e-04,6491319
7.700000e-01,7.600000e-01,7.800000e-01,1.370806e+00,5.115409e-04,7181104
7.900000e-01,7.800000e-01,8.000000e-01,1.533301e+00,5.410109e-04,8032349
8.100000e-01,8.000000e-01,8.200000e-01,1.725160e+00,5.738615e-04,9037424
8.300000e-01,8.200000e-01,8.400000e-01,1.953992e+00,6.107364e-04,10236183
8.500000e-01,8.400000e-01,8.600000e-01,2.221822e+00,6.512489e-04,11639236
8.700000e-01,8.600000e-01,8.800000e-01,2.537675e+00,6.960018e-04,13293864
8.900000e-01,8.800000e-01,9.000000e-01,2.890828e+00,7.428540e-04,15143889
9.100000e-01,9.000000e-01,9.200000e-01,3.257964e+00,7.886158e-04,17067168
9.300000e-01,9.200000e-01,9.400000e-01,3.511187e+00,8.186898e-04,18393705
9.500000e-01,9.400000e-01,9.600000e-01,3.335497e+00,7.979445e-04,17473335
9.700000e-01,9.600000e-01,9.800000e-01,1.981750e+00,6.150591e-04,10381598
9.900000e-01,9.800000e-01,1.000000e+00,1.806332e-01,1.856911e-04,946265
