statistic,value
mean_flux,0.6504355825746934
median_flux,0.7817869782447815
std_flux,0.31284946770998445
min_flux,2.9382650407717056e-39
max_flux,0.9964994788169861
mean_tau,1010.8501353576623
median_tau,0.2461729794740677
effective_tau,0.430113013489327
deep_absorption_frac,0.11702462871759631
moderate_absorption_frac,0.1496405566372695
weak_absorption_frac,0.7333348146451342
tau_eff_err,0.0018835658790324033
tau_eff_std,0.18835658790324034
mean_flux_err,0.0006930336855034908
mean_flux_std,0.06930336855034908
n_sightlines,10000.0
tau_eff_obs_target,0.21453640709064936
mean_flux_target,0.8069154337537775
tau_scale_factor,0.331586295092958
tau_eff_H_total,inf
hi_fraction_eff,0.0
