ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,1.014929e+04,2.810649e+03
HI 1215Å,16236,1.623600e+01,3.502437e-02,5.188303e+03,1.231694e+00
